,FacilityID,TicketID,AutonomousTransportID,Cost,CurrencyType
866,866,,,120.0,€
867,867,,,0.0,€
868,868,,,0.0,€
869,869,,,0.0,€
870,870,,,0.0,€
871,871,,,0.0,€
872,872,,,80.0,€
873,873,,,0.0,€
874,874,,,0.0,€
875,875,,,0.0,€
876,876,,,0.0,€
877,877,,,0.0,€
878,878,,,0.0,€
879,879,,,0.0,€
880,880,,,0.0,€
881,881,,,0.0,€
882,882,,,0.0,€
883,883,,,0.0,€
884,884,,,80.0,€
885,885,,,0.0,€
886,886,,,0.0,€
887,887,,,0.0,€
888,888,,,45.0,€
889,889,,,800.0,€
890,890,,,40.0,€
891,891,,,38.0,€
892,892,,,32.0,€
893,893,,,112.0,€
894,894,,,0.0,€
895,895,,,0.0,€
896,896,,,80.0,€
897,897,,,80.0,€
898,898,,,75.0,€
899,899,,,121.0,€
900,900,,,35.0,€
901,901,,,28.0,€
902,902,,,120.0,€
903,903,,,60.0,€
904,904,,,0.0,€
905,905,,,30.0,€
906,906,,,32.0,€
907,907,,,0.0,€
908,908,,,400.0,€
909,909,,,80.0,€
910,910,,,150.0,€
911,911,,,90.0,€
912,912,,,450.0,€
913,913,,,350.0,€
914,914,,,0.0,€
915,915,,,0.0,€
916,916,,,70.0,€
917,917,,,200.0,€
918,918,,,115.0,€
919,919,,,260.0,€
920,920,,,110.0,€
921,921,,,0.0,€
922,922,,,110.0,€
923,923,,,35.5,€
924,924,,,26.0,€
925,925,,,65.0,€
926,926,,,0.0,€
927,927,,,0.0,€
928,928,,,24.0,€
929,929,,,90.0,€
930,930,,,0.0,€
931,931,,,0.0,€
932,932,,,142.86,€
933,933,,,0.0,€
934,934,,,80.0,€
935,935,,,115.0,€
936,936,,,90.0,€
937,937,,,0.0,€
938,938,,,220.0,€
939,939,,,1000.0,€
940,940,,,0.0,€
941,941,,,30.0,€
942,942,,,50.0,€
943,943,,,0.0,€
944,944,,,80.0,€
945,945,,,0.0,€
946,946,,,80.0,€
947,947,,,100.0,€
948,948,,,3763.0,€
949,949,,,0.0,€
950,950,,,0.0,€
951,951,,,60.0,€
952,952,,,60.0,€
953,953,,,70.0,€
954,954,,,90.0,€
955,955,,,0.0,€
956,956,,,70.0,€
957,957,,,70.0,€
958,958,,,40.0,€
959,959,,,75.0,€
960,960,,,0.0,€
961,961,,,0.0,€
962,962,,,0.0,€
963,963,,,110.0,€
964,964,,,0.0,€
965,965,,,150.0,€
966,966,,,130.0,€
967,967,,,68.0,€
968,968,,,64.0,€
969,969,,,30.0,€
970,970,,,100.0,€
971,971,,,140.0,€
972,972,,,46.0,€
973,973,,,50.0,€
974,974,,,0.0,€
975,975,,,0.0,€
976,976,,,13.0,€
977,977,,,10.0,€
978,978,,,14.0,€
979,979,,,19.0,€
980,980,,,40.0,€
981,981,,,300.0,€
982,982,,,1600.0,€
983,983,,,0.0,€
984,984,,,65.0,€
985,985,,,90.0,€
986,986,,,110.0,€
987,987,,,0.0,€
988,988,,,98.0,€
989,989,,,0.0,€
990,990,,,86.0,€
991,991,,,36.0,€
992,992,,,0.0,€
993,993,,,0.0,€
994,994,,,0.0,€
995,995,,,280.0,€
996,996,,,99.0,€
997,997,,,58.0,€
998,998,,,136.0,€
999,999,,,0.0,€
1000,1000,,,55.0,€
1001,1001,,,65.0,€
1002,1002,,,965.0,€
1003,1003,,,504.0,€
1004,1004,,,660.0,€
1005,1005,,,0.0,€
1006,1006,,,50.0,€
1007,1007,,,0.0,€
1008,1008,,,60.0,€
1009,1009,,,0.0,€
1010,1010,,,0.0,€
1011,1011,,,0.0,€
1012,1012,,,54.0,€
1013,1013,,,0.0,€
1014,1014,,,90.0,€
1015,1015,,,800.0,€
1016,1016,,,80.0,€
1017,1017,,,78.0,€
1018,1018,,,120.0,€
1019,1019,,,128.0,€
1020,1020,,,0.0,€
1021,1021,,,60.0,€
1022,1022,,,0.0,€
1023,1023,,,88.0,€
1024,1024,,,0.0,€
1025,1025,,,15.4,€
1026,1026,,,82.0,€
1027,1027,,,180.0,€
1028,1028,,,80.0,€
1029,1029,,,0.0,€
1030,1030,,,208.0,€
1031,1031,,,0.0,€
1032,1032,,,55.0,€
1033,1033,,,80.0,€
1034,1034,,,90.0,€
1035,1035,,,25.0,€
1036,1036,,,0.0,€
1037,1037,,,20.0,€
1038,1038,,,0.0,€
1039,1039,,,60.0,€
1040,1040,,,80.0,€
1041,1041,,,90.0,€
1042,1042,,,80.0,€
1043,1043,,,0.0,€
1044,1044,,,40.0,€
1045,1045,,,60.0,€
1046,1046,,,60.0,€
1047,1047,,,0.0,€
1048,1048,,,0.0,€
1049,1049,,,0.0,€
1050,1050,,,0.0,€
1051,1051,,,0.0,€
1052,1052,,,0.0,€
1053,1053,,,50.0,€
1054,1054,,,80.0,€
1055,1055,,,160.0,€
1056,1056,,,1000.0,€
1057,1057,,,63.0,€
1058,1058,,,52.0,€
1059,1059,,,160.0,€
1060,1060,,,85.0,€
1061,1061,,,60.0,€
1062,1062,,,12.0,€
1063,1063,,,1000.0,€
1064,1064,,,0.0,€
1065,1065,,,40.0,€
1066,1066,,,189.0,€
1067,1067,,,140.0,€
1068,1068,,,100.0,€
1069,1069,,,0.0,€
1070,1070,,,55.0,€
1071,1071,,,55.0,€
1072,1072,,,0.0,€
1073,1073,,,90.0,€
1074,1074,,,100.0,€
1075,1075,,,0.0,€
1076,1076,,,84.0,€
1077,1077,,,0.0,€
1078,1078,,,17.0,€
1079,1079,,,15.0,€
1080,1080,,,0.0,€
1081,1081,,,1930.0,€
1082,1082,,,1500.0,€
1083,1083,,,252.0,€
1084,1084,,,0.0,€
1085,1085,,,30.0,€
1086,1086,,,120.0,€
1087,1087,,,62.0,€
1088,1088,,,0.0,€
1089,1089,,,0.0,€
1090,1090,,,100.0,€
1091,1091,,,0.0,€
1092,1092,,,60.0,€
1093,1093,,,60.0,€
1094,1094,,,55.0,€
1095,1095,,,0.0,€
1096,1096,,,0.0,€
1097,1097,,,0.0,€
1098,1098,,,25.0,€
1099,1099,,,14.0,€
1100,1100,,,68.0,€
1101,1101,,,90.0,€
1102,1102,,,0.0,€
1103,1103,,,0.0,€
1104,1104,,,46.0,€
1105,1105,,,0.0,€
1106,1106,,,24.0,€
1107,1107,,,11.0,€
1108,1108,,,25.0,€
