,RouteID,SpeedLimit,StartingPoint,ArrivalPoint,ModeOfTransport,TimeSpent,Facility,Length
27964,27964.0,1.0,565.0,566.0,4.0,282.0,,0.0024810191071850275
27965,27965.0,1.0,567.0,568.0,4.0,283.0,,0.0005275686270932753
27966,27966.0,1.0,569.0,570.0,4.0,284.0,,0.0011065481628458255
27967,27967.0,1.0,571.0,572.0,4.0,285.0,,0.0004857761720413946
27968,27968.0,1.0,573.0,574.0,4.0,286.0,,0.0007492014220991161
27969,27969.0,1.0,575.0,576.0,4.0,287.0,,0.000988294387613868
27970,27970.0,1.0,577.0,578.0,4.0,288.0,,0.022569212176508556
27971,27971.0,1.0,579.0,580.0,4.0,289.0,,0.00022252257936966277
27972,27972.0,1.0,581.0,582.0,4.0,290.0,,0.004749667000049433
27973,27973.0,1.0,583.0,584.0,4.0,291.0,,0.0005360450107431738
27974,27974.0,1.0,585.0,586.0,4.0,292.0,,0.000126180334676202
27975,27975.0,1.0,587.0,588.0,4.0,293.0,,6.523369589897307e-05
27976,27976.0,1.0,589.0,590.0,4.0,294.0,,0.008456670485793266
27977,27977.0,1.0,591.0,592.0,4.0,295.0,,0.004693582251650245
27978,27978.0,1.0,593.0,594.0,4.0,296.0,,0.004385727775270202
27979,27979.0,1.0,595.0,596.0,4.0,297.0,,0.0008102144040655903
27980,27980.0,1.0,597.0,598.0,4.0,298.0,,0.004741940947624764
27981,27981.0,1.0,599.0,600.0,4.0,299.0,,0.004868097555411952
27982,27982.0,1.0,601.0,602.0,4.0,300.0,,2.8673066650890937e-05
27983,27983.0,1.0,603.0,604.0,4.0,301.0,,0.0019276066105962239
27984,27984.0,1.0,605.0,606.0,4.0,302.0,,0.0037627773273748253
27985,27985.0,1.0,607.0,608.0,4.0,303.0,,0.00818137275345539
27986,27986.0,1.0,609.0,610.0,4.0,304.0,,0.0006808927903556893
27987,27987.0,1.0,611.0,612.0,4.0,305.0,,0.006102770317357166
27988,27988.0,1.0,613.0,614.0,4.0,306.0,,0.00018121873778086117
27989,27989.0,1.0,615.0,616.0,4.0,307.0,,0.006708574825473828
27990,27990.0,1.0,617.0,618.0,4.0,308.0,,0.007208624764509127
27991,27991.0,1.0,619.0,620.0,4.0,309.0,,0.0011427164514208232
27992,27992.0,1.0,621.0,622.0,4.0,310.0,,0.0018016436256642306
27993,27993.0,1.0,623.0,624.0,4.0,311.0,,0.007812986277321738
27994,27994.0,1.0,625.0,626.0,4.0,312.0,,0.00034925610201406835
27995,27995.0,1.0,627.0,628.0,4.0,313.0,,0.007308800616128868
27996,27996.0,1.0,629.0,630.0,4.0,314.0,,0.003889989734557454
27997,27997.0,1.0,631.0,632.0,4.0,315.0,,0.0006464506225516896
27998,27998.0,1.0,633.0,634.0,4.0,316.0,,0.007156953243319262
27999,27999.0,1.0,635.0,636.0,4.0,317.0,,0.0077439611383507525
28000,28000.0,1.0,637.0,638.0,4.0,318.0,,0.003631901100921095
28001,28001.0,1.0,639.0,640.0,4.0,319.0,,0.00031248662968199774
28002,28002.0,1.0,641.0,642.0,4.0,320.0,,0.006481155509543735
28003,28003.0,1.0,643.0,644.0,4.0,321.0,,0.009090514621085214
28004,28004.0,1.0,645.0,646.0,4.0,322.0,,0.0019354839730458008
28005,28005.0,1.0,647.0,648.0,4.0,323.0,,0.0010905820259007456
28006,28006.0,1.0,649.0,650.0,4.0,324.0,,0.00013748280887517785
28007,28007.0,1.0,651.0,652.0,4.0,325.0,,0.00014832023938743933
28008,28008.0,1.0,653.0,654.0,4.0,326.0,,0.0008941282501561217
28009,28009.0,1.0,655.0,656.0,4.0,327.0,,0.006420168132727449
28010,28010.0,1.0,657.0,658.0,4.0,328.0,,0.0020140863359690386
28011,28011.0,1.0,659.0,660.0,4.0,329.0,,0.009350180744517132
28012,28012.0,1.0,661.0,662.0,4.0,330.0,,0.009695239364368669
28013,28013.0,1.0,663.0,664.0,4.0,331.0,,0.006204709367117177
28014,28014.0,1.0,665.0,666.0,4.0,332.0,,0.025879582353356516
28015,28015.0,1.0,667.0,668.0,4.0,333.0,,0.00867760410771556
28016,28016.0,1.0,669.0,670.0,4.0,334.0,,2.959027812711599e-05
28017,28017.0,1.0,671.0,672.0,4.0,335.0,,4.214871596332907e-05
28018,28018.0,1.0,673.0,674.0,4.0,336.0,,0.001067363372966719
28019,28019.0,1.0,675.0,676.0,4.0,337.0,,3.265997616746072e-05
28020,28020.0,1.0,677.0,678.0,4.0,338.0,,0.00022627245127990057
28021,28021.0,1.0,679.0,680.0,4.0,339.0,,0.004169391738836114
28022,28022.0,1.0,681.0,682.0,4.0,340.0,,0.013285233866651504
28023,28023.0,1.0,683.0,684.0,4.0,341.0,,5.499170948563016e-05
28024,28024.0,1.0,685.0,686.0,4.0,342.0,,7.023973459412301e-05
28025,28025.0,1.0,687.0,688.0,4.0,343.0,,0.003602094272490428
28026,28026.0,1.0,689.0,690.0,4.0,344.0,,3.1025347102367175e-05
28027,28027.0,1.0,691.0,692.0,4.0,345.0,,0.0003474173128542112
28028,28028.0,1.0,693.0,694.0,4.0,346.0,,0.0002729606690981986
28029,28029.0,1.0,695.0,696.0,4.0,347.0,,0.011697516499049062
28030,28030.0,1.0,697.0,698.0,4.0,348.0,,0.004354119967965002
28031,28031.0,1.0,699.0,700.0,4.0,349.0,,0.00046772725719988935
28032,28032.0,1.0,701.0,702.0,4.0,350.0,,8.425103249243882e-05
28033,28033.0,1.0,703.0,704.0,4.0,351.0,,2.552492233625111e-05
28034,28034.0,1.0,705.0,706.0,4.0,352.0,,0.000510146966224592
28035,28035.0,1.0,707.0,708.0,4.0,353.0,,0.01523907206688069
28036,28036.0,1.0,709.0,710.0,4.0,354.0,,0.0022218684642393376
