stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1472,4380CH,Roncegno Chiesa,,46.049712,11.406684,4380
1474,2130,S.Martino di Arco,,45.923731,10.893138,3520
1475,1160PR,Daiano-Via Arca I,,46.300319,11.445211,1160
1476,1160SE,Daiano-Via Arca Civ.20,,46.298112,11.444162,1160
1477,1150OL,Carano,,46.292416,11.437238,1070
1478,1151AZ,Masi-Az. Agricola,,46.281916,11.496317,1070
1479,1181,Lago di Tesero,,46.281740,11.515793,1190
1480,1181MO,Lago-Mobilif. De Pal,,46.283985,11.521973,1190
1482,2131,Daino,,46.023309,10.943759,2125
1483,4025MC,Baselga di Pinè-Monum.,,46.130951,11.246447,4025
1484,4040LA,Miola,,46.126782,11.246524,4025
1485,4040,Miola-St. Ghiaccio,,46.125424,11.253586,4025
1486,4041BA,Faida-Rauta,,46.112841,11.253843,4041
1487,4041,Faida,,46.109689,11.251616,4041
1492,4134,Canzolino,,46.083701,11.221506,4134
1493,4134HM,Canzolino-Hotel Miralago,,46.082622,11.230442,4134
1494,4134BB,Canzolino-Bivio Buss,,46.084555,11.230766,4134
1495,4020,Riposo,,46.084493,11.236938,4020
1496,4042,Montagnaga,,46.098614,11.236071,4042
1497,4039,Valt,,46.106817,11.236568,4039
1498,4026HS,Ferrari-Hotel Scoiattolo,,46.111813,11.234198,4026
1499,4026,Ferrari,,46.121678,11.239945,4026
1501,4040BV,Miola-Bivio Ferrari/Miola,,46.124923,11.243146,4025
1502,1107RR,Mazzanigo,,46.103797,11.188919,1105
1503,1105RR,S.Agnese,,46.106121,11.183918,1105
1507,2181,Campo Lomaso,,46.024031,10.865607,2181
1508,2181SE,Campo Lomaso Ii,,46.021898,10.866744,2181
1509,2182,Vigo Lomaso,,46.013210,10.869079,2182
1510,2183,Dasindo,,46.011734,10.860501,2183
1511,2184,Stumiaga,,46.007007,10.849006,2184
1512,2185CA,Fiavè-Caseificio,,46.001943,10.846004,2185
1513,2185,Fiave',,46.004318,10.842157,2185
1514,2185BA,Fiavè-Bar Aurora,,46.001174,10.840937,2185
1515,2187,Torbiera,,45.992446,10.838008,2187
1516,2185PI,Fiavè Pineta,,45.988124,10.833076,2187
1517,2188,Ballino,,45.965503,10.811513,2188
1518,2189,Lago di Tenno,,45.935390,10.811879,2189
1519,2210,Ville Del Monte,,45.930259,10.822412,2210
1520,2210BA,Ville Del Monte I,,45.927399,10.825673,2210
1521,2191,Tenno,,45.921139,10.831297,2191
1522,2191AC,Tenno-Rist. Alla Croce,,45.918081,10.832840,2191
1523,2191AP,Cologna-Alb.Panorama,,45.915367,10.847093,2192
1524,2192,Cologna,,45.914858,10.842365,2192
1525,2192BE,Cologna-Belvedere,,45.913960,10.841415,2192
1526,2193,Gavazzo,,45.912491,10.840954,2193
1527,2136CS,Varone Cascata,,45.911896,10.837380,2136
1528,0935BT,Gardolo-Zona Ind.Le,,46.105316,11.100608,0935
1530,0001OS,Trento Ospedale S.Chiara,,46.058154,11.132919,0001
1531,0001OR,Trento Osp. S.Chiara,,46.058154,11.131198,0001
1532,0001SC,Trento Ospedale S.Camillo,,46.065482,11.131826,0001
1534,0001PV,Trento P.Zza Venezia,,46.067676,11.126902,0001
1535,0001BA,Trento Via Barbacovi,,46.064481,11.129758,0001
1536,0001MB,Trento Via M.Baldo,,46.057536,11.117437,0001
1538,2136,Varone Alberello,,45.907214,10.840333,2136
1539,2136BA,Varone Via Ballino 14,,45.904369,10.842057,2136
1540,2136SA,Varone-Sc.Alberghiera,,45.902796,10.843564,2136
1541,2228,Albola,,45.897666,10.844129,0960
1542,0960VT,Riva D/Garda V.Le Dei Tigli 21,,45.892365,10.842948,0960
1544,2136SR,Varone Sc.Alberghiera,,45.901569,10.844310,2136
1545,2136CR,Varone Cascata,,45.911836,10.837198,2136
1546,2191AR,Cologna-Alb.Panorama,,45.915416,10.847131,2192
1547,2188RR,Ballino,,45.965776,10.811609,2188
1548,2187RR,Torbiera,,45.992714,10.838523,2187
1549,2185BR,Fiavè-Bar Aurora,,46.001313,10.841014,2185
1550,2185RR,Fiave',,46.004255,10.842193,2185
1551,2185CR,Fiavè-Caseificio,,46.002206,10.845756,2185
1552,2184RR,Stumiaga,,46.007379,10.849193,2184
1553,2183RR,Dasindo,,46.011618,10.860458,2183
1554,2182RR,Vigo Lomaso,,46.013241,10.869090,2182
1555,2181SR,Campo Lomaso Ii,,46.021557,10.866822,2181
1556,2181RR,Campo Lomaso,,46.023680,10.865724,2181
1558,2195,Cares,,46.032891,10.863776,2195
1559,2196,Comighello,,46.030953,10.851467,2196
1560,2225,Sesto Bivio,,46.031422,10.846947,2225
1562,2197,Villa di Bleggio,,46.029307,10.841954,2197
1563,2198,Santa Croce,,46.024471,10.838769,2198
1564,2199,Madice,,46.023864,10.832003,2199
1565,2241,Marcè Bivio,,46.019261,10.823814,2241
1566,2200,Cavrasto,,46.017078,10.819855,2185
1567,2202,Balbido,,46.014860,10.811038,2202
1568,2201,Rango,,46.018187,10.811832,2201
1569,2207,Cavaione,,46.022570,10.819804,2207
1570,2204,Marazzone,,46.026893,10.820735,2208
1571,2203,Larido,,46.028690,10.823714,2208
1572,2208,Bivedo,,46.028738,10.826650,2208
1573,2290HM,Tione-Hotel Milano,,46.029136,10.723742,2290
1574,2292,Polin,,46.026824,10.720090,2292
1575,2293UN,Breguzzo-Loc. Petò,,46.018713,10.711183,2293
1576,2293DU,Breguzzo-Corè,,46.014463,10.707680,2293
1577,2293,Breguzzo,,46.009294,10.699435,2293
1578,2293HC,Breguzzo-Hotel Carlone,,46.006214,10.697765,2293
1579,2294,Bondo,,46.000242,10.692876,2294
1580,2295,Pra' di Bondo,,45.996292,10.690680,2295
1581,2295FA,Prà di Bondo-Falegnameria,,45.990778,10.685581,2295
1582,2296,Roncone,,45.983562,10.670695,2296
1583,2297,Fontanedo,,45.979182,10.666827,2297
1584,2298,Lardaro,,45.969381,10.660893,2298
1585,2301,Forti di Lardaro,,45.962753,10.658039,2305
1586,2304,Strada,,45.944284,10.642772,2305
1587,2305,Pieve di Bono,,45.938970,10.638638,2305
1588,2302,Agrone,,45.954529,10.650079,2305
1589,2305BO,Pieve di Bono-Tratt.Borel,,45.935769,10.639060,2305
1592,2309,Cologna di P.Bono,,45.931355,10.637450,2309
1593,2310CE,Cimego-Centrale Enel,,45.924618,10.632708,2310
1594,2326,Ponte Cimego,,45.915356,10.621384,2310
1595,2310,Cimego,,45.911927,10.614400,2310
1596,2310QA,Cimego Quartinago,,45.910622,10.611835,2310
1597,2310BP,Cimego-Bar Porte,,45.904469,10.608408,2310
1598,2311AC,Condino-Alb.Condino,,45.891406,10.601560,2311
1599,2311,Condino,,45.889021,10.599610,2311
1600,2311CI,Condino-Case Itea,,45.884992,10.596494,2311
1601,2311CA,Condino-Cartiere,,45.880389,10.592588,2311
1602,2311CP,Condino-Carpenteria,,45.874623,10.588411,2311
1603,2313,Ca' Rossa-Difr.Bar Ristoro,,45.854845,10.566903,2314
1604,2314AL,Storo-Hotel Al Melograno,,45.850410,10.574880,2314
1605,2314,Storo,,45.848809,10.578087,2314
1606,2314AI,Storo-Al Melograno,,45.850171,10.575221,2314
1608,2313RR,Ca' Rossa,,45.852440,10.565998,2314
1609,2320SB,Darzo-Stork Club,,45.849192,10.559670,2320
1610,2320,Darzo,,45.841241,10.549702,2320
1611,2320ZI,Darzo-Zona Ind.Le,,45.834353,10.542857,2320
1612,2321,Lodrone,,45.829192,10.535456,2321
1613,2322,Ponte Caffaro Bivio,,45.825169,10.530743,2323
1614,2322MO,Ponte Caffaro-Mobilif.,,45.820924,10.539249,2323
1615,2322PE,Ponte Caffaro-Pescicoltura,,45.817881,10.543905,2323
1616,2323VL,Baitoni-Via Lago,,45.810328,10.543379,2323
1617,2323,Baitoni,,45.808723,10.539588,2323
1618,2290HR,Tione-Hotel Milano,,46.029265,10.724133,2290
1619,2292RR,Polin,,46.026806,10.720064,2292
1620,2293RR,Breguzzo,,46.009868,10.700202,2293
1621,2293HR,Breguzzo-Hotel Carlone,,46.006442,10.697514,2293
1622,2294RR,Bondo,,46.000001,10.692832,2294
1623,2295RR,Prà di Bondo,,45.996469,10.690919,2295
1624,2296RR,Roncone,,45.984559,10.672081,2296
1625,2297RR,Fontanedo,,45.978898,10.666773,2297
1626,2298RR,Lardaro,,45.969770,10.661090,2298
1627,2301RR,Forti di Lardaro,,45.963004,10.658392,2305
1628,2302RR,Agrone,,45.955368,10.650607,2305
1629,2304RR,Strada,,45.944013,10.642640,2305
1630,2305BR,Pieve di Bono-Tratt.Borel,,45.935706,10.639071,2305
1631,2309RR,Cologna di P.Bono,,45.931273,10.637534,2309
1632,2311AR,Condino-Alb.Condino,,45.891388,10.601534,2311
1633,2311RR,Condino-Albergo Corona.,,45.888994,10.599609,2311
1634,2311CR,Condino-Case Itea,,45.885120,10.596701,2311
1635,2311BR,Condino-Cartiere,,45.880370,10.592622,2311
1636,2314AR,Storo-Hotel Al Melograno,,45.850363,10.575059,2314
1637,2314RR,Storo,,45.848889,10.578160,2314
1638,2320RR,Darzo,,45.842292,10.550493,2320
1639,2320ZR,Darzo-Zona Ind.Le,,45.834080,10.542728,2320
1640,2321RR,Lodrone,,45.829324,10.535700,2321
1641,2322MR,Ponte Caffaro-Mobilif.,,45.821142,10.538882,2323
1643,2171,Poia,,46.028668,10.880072,2171
1644,2172,Godenzo,,46.028751,10.883206,2173
1645,2173,Comano,,46.034769,10.891022,2173
1646,2172RR,Godenzo,,46.028886,10.883224,2173
1647,2171RR,Poia,,46.028479,10.880067,2171
1648,2174,Lundo,,46.012779,10.884054,2174
1649,2211,Villa Banale,,46.046349,10.887437,2211
1650,2212UN,Premione-Via di Pestelan,,46.047643,10.880493,2212
1651,2212,Premione,,46.048273,10.874201,2212
1652,2213SE,Stenico-Scuola,,46.049860,10.856623,2213
1653,2213,Stenico,,46.051971,10.853879,2213
