from_stop_id,to_stop_id,transfer_type,min_transfer_time
6074,1073,2,0
1074,1074,1,
1082,1074,1,
1081,1075,2,0
6075,1076,2,0
6076,1078,2,0
1080,1079,2,0
1079,1080,2,0
1075,1081,2,0
1074,1082,1,
1082,1082,1,
1069,1083,2,0
1063,1085,2,0
1062,1087,1,
1087,1087,1,
1060,1088,2,0
1059,1089,2,0
1053,1090,2,0
1050,1091,2,0
1049,1092,2,0
1093,1093,1,
1239,1093,1,
1095,1095,1,
1099,1098,2,0
1098,1099,2,0
4616,1100,2,0
1103,1103,1,
5196,1106,2,0
532,1108,2,0
613,1108,2,0
1109,1108,2,0
1189,1108,2,0
1190,1108,2,0
1530,1108,2,0
1531,1108,2,0
613,1109,2,0
1108,1109,2,0
1110,1109,2,0
1189,1109,2,0
1530,1109,2,0
1531,1109,2,0
6134,1109,2,0
1109,1110,2,0
1111,1110,2,0
1530,1110,2,0
1531,1110,2,0
6124,1110,2,0
1110,1111,2,0
6123,1111,2,0
1188,1112,2,0
6125,1113,2,0
1187,1114,1,
6126,1115,2,0
6127,1116,2,0
1186,1117,2,0
1185,1118,2,0
6129,1119,2,0
1120,1120,1,
1184,1120,1,
1933,1120,1,
1956,1120,2,0
6131,1121,2,0
6132,1122,2,0
1183,1123,1,
1182,1124,2,0
1181,1125,2,0
1126,1126,1,
1865,1126,1,
2242,1126,2,0
2244,1126,2,0
5475,1126,2,0
1180,2187,2,0
2187,2187,2,0
1128,1128,1,
1179,1128,2,0
1178,1129,1,
1177,1130,2,0
6044,1131,2,0
1176,1132,2,0
1175,1133,2,0
1174,1134,2,0
1135,1135,1,
1173,1135,1,
6046,1136,2,0
6047,1137,2,0
1172,1138,2,0
6048,1139,2,0
1140,1140,1,
1171,1140,2,0
2238,1141,2,0
6049,1142,2,0
6050,1143,2,0
6052,1144,2,0
1146,1146,1,
1169,1147,2,0
1167,1149,2,0
1166,1150,2,0
1165,1151,2,0
2250,1153,2,0
1159,1158,2,0
1158,1159,2,0
2248,1163,2,0
1151,1165,2,0
1150,1166,2,0
1149,1167,2,0
1147,1169,2,0
1170,1170,1,
1140,1171,1,
1138,1172,2,0
1135,1173,1,
1173,1173,1,
1134,1174,2,0
1133,1175,2,0
1132,1176,2,0
1130,1177,2,0
1129,1178,2,0
1178,1178,1,
1128,1179,1,
2187,1180,2,0
1125,1181,2,0
1124,1182,2,0
1123,1183,2,0
1183,1183,1,
1120,1184,1,
1184,1184,1,
1933,1184,1,
1956,1184,1,
1118,1185,2,0
1117,1186,2,0
1114,1187,2,0
1187,1187,1,
1112,1188,2,0
532,1189,2,0
613,1189,2,0
1108,1189,2,0
1109,1189,2,0
1530,1189,2,0
1531,1189,2,0
532,1190,2,0
613,1190,2,0
1108,1190,2,0
1193,1193,1,
1218,1204,2,0
1219,1209,2,0
1204,1218,2,0
1209,1219,2,0
1227,1221,1,
1240,1225,2,0
1221,1227,2,0
1227,1227,1,
1238,1237,2,0
1237,1238,2,0
1093,1239,1,
1239,1239,1,
1225,1240,2,0
578,1248,2,0
1248,1248,1,
683,1258,2,0
1273,1272,2,0
1272,1273,2,0
1458,1458,1,
1459,1459,1,
1467,1467,1,
1478,1478,2,0
6194,1479,2,0
1480,1480,2,0
1480,6196,2,0
6196,6196,2,0
626,1502,2,0
624,1503,2,0
1556,1507,2,0
1555,1508,2,0
1554,1509,2,0
1553,1510,2,0
1552,1511,2,0
1551,1512,2,0
1550,1513,1,
1549,1514,2,0
1548,1515,2,0
1547,1517,2,0
1519,1519,1,
1546,1523,2,0
1545,1527,2,0
613,1530,2,0
1108,1530,2,0
1109,1530,2,0
1110,1530,2,0
1189,1530,2,0
1531,1530,2,0
613,1531,2,0
1108,1531,2,0
1109,1531,2,0
1110,1531,2,0
1189,1531,2,0
1530,1531,2,0
1807,1535,2,0
1808,1535,2,0
1853,1535,2,0
2380,1535,2,0
532,1536,2,0
533,1536,2,0
535,1536,2,0
1544,1540,2,0
1540,1544,2,0
1527,1545,2,0
1523,1546,2,0
1517,1547,2,0
1515,1548,2,0
1514,1549,2,0
1513,1550,2,0
1550,1550,1,
1512,1551,2,0
1511,1552,2,0
1510,1553,2,0
1509,1554,2,0
1508,1555,2,0
1507,1556,2,0
1572,1572,1,
1618,1573,2,0
1619,1574,2,0
6137,1575,2,0
6138,1576,2,0
1620,1577,2,0
1621,1578,2,0
1622,1579,2,0
1623,1580,2,0
6140,1581,2,0
1624,1582,2,0
1625,1583,2,0
1626,1584,2,0
1585,1585,1,
1627,1585,1,
1629,1586,1,
1587,1587,1,
6141,1587,1,
1628,1588,2,0
1630,1589,2,0
