service_id,date,exception_type
0000001092020091420210610,20201210,2
0000001092020091420210610,20201211,2
0000001092020091420210610,20201212,2
0000001092020091420210610,20201214,2
0000001092020091420210610,20201215,2
0000001092020091420210610,20201216,2
0000001092020091420210610,20201217,2
0000001092020091420210610,20201218,2
0000001092020091420210610,20201219,2
0000001092020091420210610,20201221,2
0000001092020091420210610,20201222,2
0000001092020091420210610,20201223,2
0000001092020091420210610,20201225,2
0000001092020091420210610,20201226,2
0000001092020091420210610,20210101,2
0000001092020091420210610,20210106,2
0000001092020091420210610,20210107,2
0000001092020091420210610,20210108,2
0000001092020091420210610,20210109,2
0000001092020091420210610,20210111,2
0000001092020091420210610,20210112,2
0000001092020091420210610,20210113,2
0000001092020091420210610,20210114,2
0000001092020091420210610,20210115,2
0000001092020091420210610,20210116,2
0000001092020091420210610,20210118,2
0000001092020091420210610,20210119,2
0000001092020091420210610,20210120,2
0000001092020091420210610,20210121,2
0000001092020091420210610,20210122,2
0000001092020091420210610,20210123,2
0000001092020091420210610,20210125,2
0000001092020091420210610,20210126,2
0000001092020091420210610,20210127,2
0000001092020091420210610,20210128,2
0000001092020091420210610,20210129,2
0000001092020091420210610,20210130,2
0000001092020091420210610,20210201,2
0000001092020091420210610,20210202,2
0000001092020091420210610,20210203,2
0000001092020091420210610,20210204,2
0000001092020091420210610,20210205,2
0000001092020091420210610,20210206,2
0000001092020091420210610,20210208,2
0000001092020091420210610,20210209,2
0000001092020091420210610,20210210,2
0000001092020091420210610,20210211,2
0000001092020091420210610,20210212,2
0000001092020091420210610,20210213,2
0000001092020091420210610,20210217,2
0000001092020091420210610,20210218,2
0000001092020091420210610,20210219,2
0000001092020091420210610,20210220,2
0000001092020091420210610,20210222,2
0000001092020091420210610,20210223,2
0000001092020091420210610,20210224,2
0000001092020091420210610,20210225,2
0000001092020091420210610,20210226,2
0000001092020091420210610,20210227,2
0000001092020091420210610,20210301,2
0000001092020091420210610,20210302,2
0000001092020091420210610,20210303,2
0000001092020091420210610,20210304,2
0000001092020091420210610,20210305,2
0000001092020091420210610,20210306,2
0000001092020091420210610,20210308,2
0000001092020091420210610,20210309,2
0000001092020091420210610,20210310,2
0000001092020091420210610,20210311,2
0000001092020091420210610,20210312,2
0000001092020091420210610,20210313,2
0000001092020091420210610,20210315,2
0000001092020091420210610,20210316,2
0000001092020091420210610,20210317,2
0000001092020091420210610,20210318,2
0000001092020091420210610,20210319,2
0000001092020091420210610,20210320,2
0000001092020091420210610,20210322,2
0000001092020091420210610,20210323,2
0000001092020091420210610,20210324,2
0000001092020091420210610,20210325,2
0000001092020091420210610,20210326,2
0000001092020091420210610,20210327,2
0000001092020091420210610,20210329,2
0000001092020091420210610,20210330,2
0000001092020091420210610,20210331,2
0000001092020091420210610,20210405,2
0000001092020091420210610,20210407,2
0000001092020091420210610,20210408,2
0000001092020091420210610,20210409,2
0000001092020091420210610,20210410,2
0000001092020091420210610,20210412,2
0000001092020091420210610,20210413,2
0000001092020091420210610,20210414,2
0000001092020091420210610,20210415,2
0000001092020091420210610,20210416,2
0000001092020091420210610,20210417,2
0000001092020091420210610,20210419,2
0000001092020091420210610,20210420,2
0000001092020091420210610,20210421,2
0000001092020091420210610,20210422,2
0000001092020091420210610,20210423,2
0000001092020091420210610,20210424,2
0000001092020091420210610,20210426,2
0000001092020091420210610,20210427,2
0000001092020091420210610,20210428,2
0000001092020091420210610,20210429,2
0000001092020091420210610,20210430,2
0000001092020091420210610,20210501,2
0000001092020091420210610,20210503,2
0000001092020091420210610,20210504,2
0000001092020091420210610,20210505,2
0000001092020091420210610,20210506,2
0000001092020091420210610,20210507,2
0000001092020091420210610,20210508,2
0000001092020091420210610,20210510,2
0000001092020091420210610,20210511,2
0000001092020091420210610,20210512,2
0000001092020091420210610,20210513,2
0000001092020091420210610,20210514,2
0000001092020091420210610,20210515,2
0000001092020091420210610,20210517,2
0000001092020091420210610,20210518,2
0000001092020091420210610,20210519,2
0000001092020091420210610,20210520,2
0000001092020091420210610,20210521,2
0000001092020091420210610,20210522,2
0000001092020091420210610,20210524,2
0000001092020091420210610,20210525,2
0000001092020091420210610,20210526,2
0000001092020091420210610,20210527,2
0000001092020091420210610,20210528,2
0000001092020091420210610,20210529,2
0000001092020091420210610,20210531,2
0000001092020091420210610,20210601,2
0000001092020091420210610,20210602,2
0000001092020091420210610,20210603,2
0000001092020091420210610,20210604,2
0000001092020091420210610,20210605,2
0000001092020091420210610,20210607,2
0000001092020091420210610,20210608,2
0000001092020091420210610,20210609,2
0000001092020091420210610,20210610,2
