,FacilityID,RouteID,Province,City,Street,Number,Cap,Location
270,270,,Trento,Trento,Via al Sarca,15,38080,270
271,271,,Trento,Trento,Via Trento,,38071,271
272,272,,Trento,Trento,Ciclopista del Brenta,,38059,272
273,273,,Trento,Trento,Ciclopista del Brenta,,38050,273
274,274,,Trento,Trento,Ciclopista del Brenta,,38059,274
275,275,,Trento,Trento,Ciclopista del Brenta,,36052,275
276,276,,Trento,Trento,Ciclopista del Brenta,,36052,276
277,277,,Trento,Trento,Ciclopista del Brenta,,,277
278,278,,Trento,Trento,Ciclopista del Brenta,,,278
279,279,,Trento,Trento,Ciclopista del Brenta,,38059,279
280,280,,Trento,Trento,,,38055,280
281,281,,Trento,Trento,Via Zaccon,,38050,281
282,282,,Trento,Trento,Via Zaccon,,38050,282
283,283,,Trento,Trento,Via per Santa Giuliana,,38056,283
284,284,,Trento,Trento,Ciclopista del Brenta,,38056,284
285,285,,Trento,Trento,Ciclopista del Brenta,,38056,285
286,286,,Trento,Trento,Ciclopista del Brenta,,38055,286
287,287,,Trento,Trento,Ciclopista del Brenta,,38055,287
288,288,,Trento,Trento,Ciclopista del Brenta,,38056,288
289,289,,Trento,Trento,Via San Silvestro,,,289
290,290,,Trento,Trento,Via Oltrebrenta,9,38050,290
291,291,,Trento,Trento,Via Lungo Monti,,,291
292,292,,Trento,Trento,Ciclopista del Brenta,,38051,292
293,293,,Trento,Trento,Ciclopista del Brenta,,38050,293
294,294,,Trento,Trento,Ciclopista del Brenta,,38056,294
295,295,,Trento,Trento,Ciclopista del Brenta,,38059,295
296,296,,Trento,Trento,Ciclopista del Brenta,,38051,296
297,297,,Trento,Trento,Ciclopista del Brenta,,38059,297
298,298,,Trento,Trento,Ciclopista del Brenta,,38056,298
299,299,,Trento,Trento,,,38055,299
300,300,,Trento,Trento,Ciclopista del Brenta,,38050,300
301,301,,Trento,Trento,Ciclabile della Valsugana,,38052,301
302,302,,Trento,Trento,Ciclopista del Brenta,,38056,302
303,303,,Trento,Trento,Ciclopista del Brenta,,38051,303
304,304,,Trento,Trento,Ciclopista del Brenta,,38056,304
305,305,,Trento,Trento,,,36052,305
306,306,,Trento,Trento,,,38055,306
307,307,,Trento,Trento,Via Pra Minati,,38055,307
308,308,,Trento,Trento,Via Martini,,38055,308
309,309,,Trento,Trento,Ciclopista del Brenta,,38059,309
310,310,,Trento,Trento,Ciclopista del Brenta,,38059,310
311,311,,Trento,Trento,Pista Ciclabile Valle dell'Adige,,38061,311
