,RouteID,Price,Contact,FacilityEnum,Address,Calendar
267,,267.0,267.0,2.0,267.0,267.0
268,,268.0,268.0,2.0,268.0,268.0
269,,269.0,269.0,2.0,269.0,269.0
270,,270.0,270.0,2.0,270.0,270.0
271,,271.0,271.0,2.0,271.0,271.0
272,,272.0,272.0,2.0,272.0,272.0
273,,273.0,273.0,2.0,273.0,273.0
274,,274.0,274.0,2.0,274.0,274.0
275,,275.0,275.0,2.0,275.0,275.0
276,,276.0,276.0,2.0,276.0,276.0
277,,277.0,277.0,2.0,277.0,277.0
278,,278.0,278.0,2.0,278.0,278.0
279,,279.0,279.0,2.0,279.0,279.0
280,,280.0,280.0,2.0,280.0,280.0
281,,281.0,281.0,2.0,281.0,281.0
282,,282.0,282.0,2.0,282.0,282.0
283,,283.0,283.0,2.0,283.0,283.0
284,,284.0,284.0,2.0,284.0,284.0
285,,285.0,285.0,2.0,285.0,285.0
286,,286.0,286.0,2.0,286.0,286.0
287,,287.0,287.0,2.0,287.0,287.0
288,,288.0,288.0,2.0,288.0,288.0
289,,289.0,289.0,2.0,289.0,289.0
290,,290.0,290.0,2.0,290.0,290.0
291,,291.0,291.0,2.0,291.0,291.0
292,,292.0,292.0,2.0,292.0,292.0
293,,293.0,293.0,2.0,293.0,293.0
294,,294.0,294.0,2.0,294.0,294.0
295,,295.0,295.0,2.0,295.0,295.0
296,,296.0,296.0,2.0,296.0,296.0
297,,297.0,297.0,2.0,297.0,297.0
298,,298.0,298.0,2.0,298.0,298.0
299,,299.0,299.0,2.0,299.0,299.0
300,,300.0,300.0,2.0,300.0,300.0
301,,301.0,301.0,2.0,301.0,301.0
302,,302.0,302.0,2.0,302.0,302.0
303,,303.0,303.0,2.0,303.0,303.0
304,,304.0,304.0,2.0,304.0,304.0
305,,305.0,305.0,2.0,305.0,305.0
306,,306.0,306.0,2.0,306.0,306.0
307,,307.0,307.0,2.0,307.0,307.0
308,,308.0,308.0,2.0,308.0,308.0
309,,309.0,309.0,2.0,309.0,309.0
310,,310.0,310.0,2.0,310.0,310.0
311,,311.0,311.0,2.0,311.0,311.0
